127.0.0.1 - - [05/Feb/2020:11:03:34 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:04:19 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:07:24 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 415 766
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:07:59 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:12:05 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:15:50 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:17:29 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:18:15 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:23:26 +0530] "PUT /loginregistration/webapi/usersRegistration/update-user/bikashmohanty70@gmail.com HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:54:13 +0530] "DELETE /loginregistration/webapi/usersRegistration/delete-user/ss@gmail.com HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:55:06 +0530] "DELETE /loginregistration/webapi/usersRegistration/delete-user/ss@gmail.com HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:55:18 +0530] "GET /loginregistration/webapi/usersRegistration/getAll HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:58:56 +0530] "GET /loginregistration/webapi/usersRegistration/getAll HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [05/Feb/2020:11:59:50 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [05/Feb/2020:12:00:15 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [05/Feb/2020:12:00:58 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [05/Feb/2020:12:01:01 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 400 795
0:0:0:0:0:0:0:1 - - [05/Feb/2020:12:01:10 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 400 795
0:0:0:0:0:0:0:1 - - [05/Feb/2020:12:01:18 +0530] "GET /loginregistration/webapi/usersRegistration/bikashmohanty70@gmail.com HTTP/1.1" 200 177
